service_id,date,exception_type
6c4bdab144746c0fbb55c60d40,20250120,1
625cdae302747617bb54c410,20250120,1
624ddab200707612a612,20250120,1
6350da927b,20250120,1
684bdae302747664,20250120,1
6c4bdab144746c0fbb55c60d40,20250121,1
625cdae302747617bb54c410,20250121,1
624ddab200707612a612,20250121,1
6350da927b,20250121,1
684bdae302747664,20250121,1
6c4bdab144746c0fbb55c60d40,20250122,1
625cdae302747617bb54c410,20250122,1
624ddab200707612a612,20250122,1
6350da927b,20250122,1
684bdae302747664,20250122,1
6c4bdab144746c0fbb55c60d40,20250123,1
625cdae302743f,20250123,1
624ddab200707612a612,20250123,1
6350da927b,20250123,1
684bdae302747664,20250123,1
6c4bdab144746c0fba55c60d40,20250124,1
625cdae202743f,20250124,1
624ddab200707613a612,20250124,1
6350da927b,20250124,1
684bdae202747664,20250124,1
6c4bdab144746c0fbf55c60d40,20250125,1
625cdae702743e,20250125,1
624ddab200707616a612,20250125,1
6350da9262,20250125,1
684bdae702747664bd,20250125,1
6c4bdab144746c0fbe55c60d40,20250126,1
625cdae602747616ba57c715,20250126,1
624ddab200707617a612,20250126,1
6350da9262,20250126,1
684bdae602747664bd,20250126,1
6c4bdab144746c0fbb55c60d40,20250127,1
625cdae302743f,20250127,1
624ddab200707612a612,20250127,1
6350da927b,20250127,1
684bdae302747664,20250127,1
6c4bdab144746c0fbb55c60d40,20250128,1
625cdae302743f,20250128,1
624ddab200707612a612,20250128,1
6350da927b,20250128,1
684bdae302747664,20250128,1
6c4bdab144746c0fbb55c60d40,20250129,1
625cdae302747616ba54c416,20250129,1
624ddab200707612a612,20250129,1
6350da927b,20250129,1
684bdae302747664,20250129,1
6c4bdab144746c0fbb55c60d40,20250130,1
625cdae302743f,20250130,1
624ddab200707612a612,20250130,1
6350da927b,20250130,1
684bdae302747664,20250130,1
6c4bdab144746c0fba55c60d40,20250131,1
625cdae202743f,20250131,1
624ddab200707613a612,20250131,1
6350da927b,20250131,1
684bdae202747664,20250131,1
6c4bdab144746c0fbf55c60d40,20250201,1
625cdae702743e,20250201,1
624ddab200707616a612,20250201,1
6350da9278,20250201,1
684bdae702747664bd,20250201,1
6c4bdab144746c0fbe55c60d40,20250202,1
625cdae602743f,20250202,1
624ddab200707617a612,20250202,1
6350da9278,20250202,1
684bdae602747664bd,20250202,1
6c4bdab144746c0fbb55c60d40,20250203,1
625cdae302743f,20250203,1
624ddab200707612a612,20250203,1
6350da9271,20250203,1
684bdae302747664,20250203,1
6c4bdab144746c0fbb55c60d40,20250204,1
625cdae302743f,20250204,1
624ddab200707612a612,20250204,1
6350da9271,20250204,1
684bdae302747664,20250204,1
6c4bdab144746c0fbb55c60d40,20250205,1
625cdae302743f,20250205,1
624ddab200707612a612,20250205,1
6350da9271,20250205,1
684bdae302747664,20250205,1
6c4bdab144746c0fbb55c60d40,20250206,1
625cdae302743f,20250206,1
624ddab200707612a612,20250206,1
6350da9271,20250206,1
684bdae302747664,20250206,1
6c4bdab144746c0fba55c60d40,20250207,1
625cdae202743f,20250207,1
624ddab200707613a612,20250207,1
6350da9271,20250207,1
684bdae202747664,20250207,1
6c4bdab144746c0fbf55c60d40,20250208,1
625cdae702743e,20250208,1
624ddab200707616a612,20250208,1
6350da927e,20250208,1
684bdae702747664bd,20250208,1
6c4bdab144746c0fbe55c60d40,20250209,1
625cdae602743f,20250209,1
624ddab200707617a612,20250209,1
6350da927e,20250209,1
684bdae602747664bd,20250209,1
6c4bdab144746c0fbb55c60d40,20250210,1
625cdae302743f,20250210,1
624ddab200707612a612,20250210,1
6350da9271,20250210,1
684bdae302747664,20250210,1
6c4bdab144746c0fbb55c60d40,20250211,1
625cdae302743f,20250211,1
624ddab200707612a612,20250211,1
6350da9271,20250211,1
684bdae302747664,20250211,1
6c4bdab144746c0fbb55c60d40,20250212,1
625cdae302743f,20250212,1
624ddab200707612a612,20250212,1
6350da9271,20250212,1
684bdae302747664,20250212,1
6c4bdab144746c0fbb55c60d40,20250213,1
625cdae302743f,20250213,1
624ddab200707612a612,20250213,1
6350da9271,20250213,1
684bdae302747664,20250213,1
6c4bdab144746c0fba55c60d40,20250214,1
625cdae202743f,20250214,1
624ddab200707613a612,20250214,1
6350da9271,20250214,1
684bdae202747664,20250214,1
6c4bdab144746c0fbf55c60d40,20250215,1
625cdae702743e,20250215,1
624ddab200707616a612,20250215,1
6350da927e,20250215,1
684bdae702747664bd,20250215,1
6c4bdab144746c0fbe55c60d40,20250216,1
625cdae602743f,20250216,1
624ddab200707617a612,20250216,1
6350da927e,20250216,1
684bdae602747664bd,20250216,1
6c4bdab144746c0fbb55c60d40,20250217,1
625cdae302743f,20250217,1
624ddab200707612a612,20250217,1
6350da9271,20250217,1
684bdae302747664,20250217,1
6c4bdab144746c0fbb55c60d40,20250218,1
625cdae302743f,20250218,1
624ddab200707612a612,20250218,1
6350da9271,20250218,1
684bdae302747664,20250218,1
6c4bdab144746c0fbb55c60d40,20250219,1
625cdae302743f,20250219,1
624ddab200707612a612,20250219,1
6350da9271,20250219,1
684bdae302747664,20250219,1
6c4bdab144746c0fbb55c60d40,20250220,1
625cdae302743f,20250220,1
624ddab200707612a612,20250220,1
6350da9271,20250220,1
684bdae302747664,20250220,1
6c4bdab144746c0fba55c60d40,20250221,1
625cdae202743f,20250221,1
624ddab200707613a612,20250221,1
6350da9271,20250221,1
684bdae202747664,20250221,1
6c4bdab144746c0fbf55c60d40,20250222,1
625cdae702743e,20250222,1
624ddab200707616a612,20250222,1
6350da9278,20250222,1
684bdae702747664bd,20250222,1
6c4bdab144746c0fbe55c60d40,20250223,1
625cdae602743f,20250223,1
624ddab200707617a612,20250223,1
6350da9278,20250223,1
684bdae602747664bd,20250223,1
6c4bdab144746c0fbb55c60d40,20250224,1
625cdae302743f,20250224,1
624ddab200707612a612,20250224,1
6350da9271,20250224,1
684bdae302747664,20250224,1
6c4bdab144746c0fbb55c60d40,20250225,1
625cdae302743f,20250225,1
624ddab200707612a612,20250225,1
6350da9271,20250225,1
684bdae302747664,20250225,1
6c4bdab144746c0fbb55c60d40,20250226,1
625cdae302743f,20250226,1
624ddab200707612a612,20250226,1
6350da9271,20250226,1
684bdae302747664,20250226,1
6c4bdab144746c0fbb55c60d40,20250227,1
625cdae302743f,20250227,1
624ddab200707612a612,20250227,1
6350da9271,20250227,1
684bdae302747664,20250227,1
6c4bdab144746c0fba55c60d40,20250228,1
625cdae202743f,20250228,1
624ddab200707613a612,20250228,1
6350da9271,20250228,1
684bdae202747664,20250228,1
6c4bdab144746c0fbf55c60d40,20250301,1
625cdae702743e,20250301,1
624ddab200707616a612,20250301,1
6350da9278,20250301,1
684bdae702747664bd,20250301,1
6c4bdab144746c0fbe55c60d40,20250302,1
625cdae602743f,20250302,1
624ddab200707617a612,20250302,1
6350da9278,20250302,1
684bdae602747664bd,20250302,1
6c4bdab144746c0fbb55c60d40,20250303,1
625cdae302743f,20250303,1
624ddab200707612a612,20250303,1
6350da9271,20250303,1
684bdae302747664,20250303,1
6c4bdab144746c0fbb55c60d40,20250304,1
625cdae302743f,20250304,1
624ddab200707612a612,20250304,1
6350da9271,20250304,1
684bdae302747664,20250304,1
6c4bdab144746c0fbb55c60d40,20250305,1
625cdae302743f,20250305,1
624ddab200707612a612,20250305,1
6350da9271,20250305,1
684bdae302747664,20250305,1
